movieId,mean,count,weighted_score,title,genres,IMAX,Children,Action,Fantasy,Thriller,Sci-Fi,Comedy,Film-Noir,(no genres listed),Documentary,Animation,Horror,Adventure,Romance,Crime,Mystery,War,Musical,Drama,Western
20,2.894482611,4658,2.897472178,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
21,3.568368419,25699,3.568335982,Get Shorty (1995),Comedy|Crime|Thriller,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,3.301140445,11136,3.301592561,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
23,3.158796962,4871,3.160467974,Assassins (1995),Action|Crime|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,3.179305843,9191,3.180144339,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,3.666760597,24841,3.666639979,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,3.610138705,3028,3.609563867,Othello (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,3.42510661,1876,3.426327605,Now and Then (1995),Children|Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,4.036360981,3424,4.033131107,Persuasion (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,3.918794892,10024,3.917944435,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
30,3.636664217,1361,3.634974544,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,3.23758685,11802,3.238131749,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,3.890192539,54846,3.890048294,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,3.055555556,72,3.166699943,Wings of Courage (1995),Adventure|Romance|IMAX,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,3.613834499,35903,3.613783432,Babe (1995),Children|Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,3.498727735,1572,3.499165492,Carrington (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,3.928762263,23955,3.928396788,Dead Man Walking (1995),Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,2.960674157,89,3.073601754,Across the Sea of Time (1995),Documentary|IMAX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,2.912921348,712,2.931430238,It Takes Two (1995),Children|Comedy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3.416287132,29422,3.416372429,Clueless (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
40,3.648148148,945,3.645470315,"Cry, the Beloved Country (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,3.849862259,5082,3.848485461,Richard III (1995),Drama|War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
42,3.048282443,2620,3.052297424,Dead Presidents (1995),Action|Crime|Drama,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,3.466254218,2667,3.466779396,Restoration (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2.631852191,13098,2.633358978,Mortal Kombat (1995),Action|Adventure|Fantasy,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,3.372723531,9719,3.373079745,To Die For (1995),Comedy|Drama|Thriller,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,3.268596281,3334,3.270312811,How to Make an American Quilt (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
47,4.071687183,55240,4.071471713,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,2.963167869,16358,2.96392978,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
49,3.567164179,268,3.564378602,When Night Is Falling (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,4.291958829,62180,4.291689492,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
51,2.6,35,2.959119205,Guardian Angel (1994),Action|Drama|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,3.532890941,10398,3.532885777,Mighty Aphrodite (1995),Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
53,3.695652174,161,3.675791228,Lamerica (1994),Adventure|Drama,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54,2.848684211,1064,2.862495207,"Big Green, The (1995)",Children|Comedy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3.225460123,978,3.232169795,Georgia (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,2.060240964,83,2.368283759,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
57,3.322332016,2530,3.324126095,Home for the Holidays (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,3.96410965,13388,3.963398195,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
59,3.604878049,205,3.597664294,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
60,3.071240626,7601,3.072565892,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,3.336308316,2465,3.338025651,Eye for an Eye (1996),Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,3.746714329,23359,3.746510833,Mr. Holland's Opus (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,3.121537901,2744,3.124790237,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,2.837819343,2192,2.844701804,Two if by Sea (1996),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65,2.399091999,5837,2.403340125,Bio-Dome (1996),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2.160866203,2586,2.1724194,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3.352272727,176,3.37206967,Two Bits (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,3.454097117,1318,3.455350593,French Twist (Gazon maudit) (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
69,3.550891317,5217,3.550805458,Friday (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3.315466785,15821,3.315765309,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
71,2.35431918,1366,2.372960947,Fair Game (1995),Action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3.484632684,1334,3.485375955,Kicking and Screaming (1995),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
73,3.794383003,3436,3.792703816,"Misérables, Les (1995)",Drama|War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
74,3.297678059,3833,3.299006432,Bed of Roses (1996),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
75,2.451077944,603,2.489071671,Big Bully (1996),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
76,3.018652711,3726,3.021656829,Screamers (1995),Action|Sci-Fi|Thriller,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3.441048035,229,3.448883644,Nico Icon (1995),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,3.17017134,1284,3.176240272,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79,3.160463649,6341,3.161742856,"Juror, The (1996)",Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,3.728026534,603,3.721071671,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,3.268483618,3449,3.270143992,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
82,4.012848752,2724,4.008983902,Antonia's Line (Antonia) (1995),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
83,3.64910859,617,3.645023153,Once Upon a Time... When We Were Colored (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
84,3.380239521,167,3.397723781,Last Summer in the Hamptons (1995),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85,3.538990826,2834,3.538924998,Angels and Insects (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
86,3.486756405,4606,3.486964087,White Squall (1996),Action|Adventure|Drama,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
87,2.410521583,1112,2.432248496,Dunston Checks In (1996),Children|Comedy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3.12722194,5907,3.12871813,Black Sheep (1996),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,3.133562625,3489,3.1360495,Nick of Time (1995),Action|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3.338495575,226,3.355523366,The Journey of August King (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,2.851949634,2462,2.857958855,Mary Reilly (1996),Drama|Horror|Thriller,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
93,2.510994045,2183,2.52116544,Vampire in Brooklyn (1995),Comedy|Horror|Romance,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
94,3.531713438,4383,3.531707104,Beautiful Girls (1996),Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
95,3.109548497,25847,3.109906444,Broken Arrow (1996),Action|Adventure|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,3.690661479,514,3.684085438,In the Bleak Midwinter (1995),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
97,3.987710674,2848,3.984205503,"Hate (Haine, La) (1995)",Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
98,2.653846154,91,2.824511457,Shopping (1994),Action|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3.108582575,769,3.120315796,Heidi Fleiss: Hollywood Madam (1995),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,3.230622332,4451,3.232096981,City Hall (1996),Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,3.773268726,4953,3.772194934,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
102,2.427170868,2142,2.438387151,Mr. Wrong (1996),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3.270471464,1209,3.275117624,Unforgettable (1996),Mystery|Sci-Fi|Thriller,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,3.39427788,22247,3.394412403,Happy Gilmore (1996),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3.328784119,11284,3.329176525,"Bridges of Madison County, The (1995)",Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
106,3.407142857,140,3.423887621,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
107,3.196195518,8122,3.197098452,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
108,3.036764706,136,3.10550503,Catwalk (1996),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,4.008480735,68803,4.00832793,Braveheart (1995),Action|Drama|War,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
111,4.086422381,32885,4.086050682,Taxi Driver (1976),Crime|Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112,3.398412462,13417,3.398628603,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
113,3.125215889,1158,3.132771012,Before and After (1996),Drama|Mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
114,3.62890625,256,3.621114369,Margaret's Museum (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,3.394230769,52,3.434726955,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,3.914913958,1046,3.90699419,Anne Frank Remembered (1995),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,3.587899543,1314,3.586953439,"Young Poisoner's Handbook, The (1995)",Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
118,3.011469839,1177,3.020992322,If Lucy Fell (1996),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
119,2.795955882,272,2.850917669,"Steal Big, Steal Little (1995)",Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2.883928571,168,2.958788393,Race the Sun (1996),Adventure|Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
121,3.735772358,861,3.730656619,"Boys of St. Vincent, The (1992)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,2.862026862,4095,2.865598687,Boomerang (1992),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
123,3.988311235,2866,3.984823336,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
124,3.49122807,342,3.493598337,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,3.73973906,3679,3.738494946,Flirting With Disaster (1996),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2.34478289,1543,2.361450348,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,3.221153846,52,3.313105333,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,3.475,80,3.486958771,Jupiter's Wife (1994),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,3.171641791,201,3.207039438,Pie in the Sky (1996),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
130,3.244680851,47,3.335794126,Angela (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,3.305555556,198,3.328044521,Frankie Starlight (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
132,2.769457014,2210,2.776957793,Jade (1995),Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,3.635135135,37,3.596098215,Sonic Outlaws (1995),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,2.999095257,7737,3.000601855,Down Periscope (1996),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3.564814815,108,3.558998421,From the Journals of Jean Seberg (1995),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,3.301652893,242,3.320718919,Man of the Year (1995),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,3.27852349,149,3.310934472,"Neon Bible, The (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,3.104166667,48,3.238139924,Target (1995),Action|Drama,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,3.308727208,5649,3.309587338,Up Close and Personal (1996),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
141,3.520947736,26041,3.520955753,"Birdcage, The (1996)",Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,3.058139535,43,3.217996841,Shadows (Cienie) (1988),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,3.465668449,4675,3.465971853,"Brothers McMullen, The (1995)",Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3.27524313,15321,3.275609059,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
146,2.896166134,626,2.9177003,"Amazing Panda Adventure, The (1995)",Adventure|Children,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,3.601513365,5088,3.601207396,"Basketball Diaries, The (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,2.907754011,374,2.942347966,"Awfully Big Adventure, An (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,3.687280702,1140,3.684311355,Amateur (1994),Crime|Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
150,3.88430069,58665,3.884168041,Apollo 13 (1995),Adventure|Drama|IMAX,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
151,3.523970588,13600,3.523981045,Rob Roy (1995),Action|Drama|Romance|War,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
152,3.093926554,708,3.107081911,"Addiction, The (1995)",Drama|Horror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
153,2.902062256,38647,2.902419762,Batman Forever (1995),Action|Adventure|Comedy|Crime,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
154,3.796010879,3309,3.794256918,Beauty of the Day (Belle de jour) (1967),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,3.395533687,1321,3.397743704,Beyond Rangoon (1995),Adventure|Drama|War,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
156,3.532726238,1757,3.53269803,Blue in the Face (1995),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
157,2.793533237,2768,2.799344012,Canadian Bacon (1995),Comedy|War,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
158,2.890463593,15876,2.891349213,Casper (1995),Adventure|Children,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,3.414043584,2478,3.415067918,Clockers (1995),Crime|Drama|Mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
160,2.606033135,15995,2.607302853,Congo (1995),Action|Adventure|Mystery|Sci-Fi,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
161,3.745193038,26316,3.745013661,Crimson Tide (1995),Drama|Thriller|War,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
162,3.987169696,6547,3.985640097,Crumb (1994),Documentary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,3.431321722,17167,3.431448589,Desperado (1995),Action|Romance|Western,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
164,3.460286458,4608,3.460619826,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
165,3.507758704,41244,3.507770799,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166,2.839622642,742,2.859515438,"Doom Generation, The (1995)",Comedy|Crime|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
167,3.19047619,84,3.261035799,Feast of July (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
168,3.063582133,13746,3.064328137,First Knight (1995),Action|Drama|Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
169,2.29689808,4062,2.303543045,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
170,3.220649676,9574,3.22135992,Hackers (1995),Action|Adventure|Crime|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
171,3.598293515,1465,3.597289707,Jeffrey (1995),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
172,2.752074976,14458,2.753257583,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2.539373066,17131,2.54064419,Judge Dredd (1995),Action|Crime|Sci-Fi,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,2.44901168,2226,2.459595104,Jury Duty (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3.523517206,5783,3.523543462,Kids (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,3.84694288,2486,3.844166585,Living in Oblivion (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2.894190871,2410,2.899946462,Lord of Illusions (1995),Horror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,3.379807692,520,3.38592213,Love & Human Remains (1993),Comedy|Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
